ref	1	5	10	20	species	reads
GCF_000006945.2	.052860	.067012	.066121	.066822	Salmonella enterica	65664
GCF_000017205.1	.348837	.388888	.413946	.414201	Pseudomonas aeruginosa	434
GCF_000148585.2	.159183	.258389	.250000	.275080	Streptococcus mitis	242
GCF_000392875.1	.009667	.011386	.010841	.008115	Enterococcus faecalis	3798
GCF_000742135.1	.075247	.077225	.076650	.081913	Klebsiella pneumoniae	73472
GCF_001027105.1	.022370	.025686	.027027	.026978	Staphylococcus aureus	1814
GCF_001096185.1	.168384	.181229	.189102	.200636	Streptococcus pneumoniae	284
GCF_001457655.1	.122909	.192624	.196218	.202635	Haemophilus influenzae	2492
GCF_001544255.1	.013689	.015161	.012991	.015528	Enterococcus faecium	3294
GCF_002949675.1	.492149	.525276	.526293	.527906	Shigella dysenteriae	60720
GCF_002950215.1	.488692	.515451	.517123	.521609	Shigella flexneri	65490
GCF_003697165.2	.465953	.490760	.490679	.483973	Escherichia coli	66770
GCF_006742205.1	.021379	.038841	.038208	.034098	Staphylococcus epidermidis	1594
GCF_009759685.1	.504366	.581548	.608895	.601265	Acinetobacter baumannii	272
GCF_900638025.1	.098618	.163709	.167558	.168662	Haemophilus parainfluenzae	2744
